,ou_code,ou_name,bg_code,bg_name_cn,customer_id,customer_name,total_storage_location_count,operation_day,week,month,quarter,year,is_holiday,inbound_header_count,inbound_line_count,inbound_line_original_qty,inbound_receive_qty,inbound_receive_volume,inbound_receive_weight,outbound_header_count,outbound_line_count,outbound_line_original_qty,outbound_shipped_qty,outbound_shipped_volume,outbound_shipped_weight,outbound_std_shipped_volume,outbound_std_shipped_weight,used_storage_location_count,active_lpn_count,on_hand_qty,in_transit_qty,allocated_qty,total_head_count,total_working_hour,outsource_working_hour,perm_working_hour,other_working_hour,direct_working_hour,indirect_working_hour,outbound_inbound_qty_ratio,perm_working_hour_ratio,working_hour_per_head,location_usage_rate,location_idle_rate,update_time
0,CATC008,,,,,,,20210730,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,15.0,131.55,10.5,121.05,0.0,131.55,0.0,,0.92018244013683,8.770000000000001,,,2021-08-09 05:03:41.0
1,CATC009,,,,,,,20210622,202126,202106,202102,2021,0,,,,,,,,,,,,,,,,,,,,8.0,73.71000000000001,0.0,73.71000000000001,0.0,73.71000000000001,0.0,,1.0,9.21375,,,2021-08-05 07:35:11.0
2,CATC009,,,,,,,20210728,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,7.0,69.25,0.0,69.25,0.0,69.25,0.0,,1.0,9.892857142857142,,,2021-08-09 05:03:41.0
3,CATC014,,,,,,,20210729,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,8.0,57.74,0.0,57.74,0.0,57.74,0.0,,1.0,7.217499999999999,,,2021-08-09 05:03:41.0
4,CATC015,,,,,,,20210729,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,9.0,79.63,0.0,79.63,0.0,79.63,0.0,,1.0,8.847777777777777,,,2021-08-09 05:03:41.0
5,CN-001,ABBOTT PEK XW0 WHS,LSH,生命科学与医疗行业事业部,ABBOT,ABBOT,9374.0,20210617,202125,202106,202102,2021,0,5.0,14.0,114.0,114.0,326561.0,13.654000000000002,6.0,37.0,13527.0,13527.0,55714670.28840001,,,,15.0,24.0,1535.0,0.0,0.0,4.0,31.58,0.0,31.58,0.0,31.58,0.0,118.65789473684212,1.0,7.895,0.001600170684873,0.9983998293151268,2021-08-05 07:35:11.0
6,CN-002,ABBOTT CTU  BTS WHS,LSH,生命科学与医疗行业事业部,ABBOT,ABBOT,3321.0,20210619,202125,202106,202102,2021,1,,,,,,,,,,,,,,,,,,,,3.0,13.330000000000002,4.45,8.88,0.0,13.330000000000002,0.0,,0.6661665416354088,4.443333333333334,,,2021-08-05 07:35:11.0
7,CN-002,ABBOTT CTU  BTS WHS,LSH,生命科学与医疗行业事业部,ABBOT,ABBOT,3321.0,20210714,202129,202107,202103,2021,0,2.0,7.0,24690.0,24690.0,86817630.0,9.102,3.0,4.0,192.0,192.0,3247599.84,,,,808.0,1537.0,298341.0,0.0,3551.0,,,,,,,,0.0077764277035236,,,0.2433002107798856,0.7566997892201144,2021-08-10 09:30:35.0
8,CN-003,ABBOTT SHA KQ0 WHS,LSH,生命科学与医疗行业事业部,ABBOT,ABBOT,13689.0,20210725,202130,202107,202103,2021,1,44.0,2092.0,18861.0,18861.0,73040079.47190006,79270.88900000001,1.0,5.0,21948.0,21948.0,83529174.4,,,,6928.0,14367.0,4505518.0,0.0,74986.0,,,,,,,,1.1636710672816923,,,0.5060997881510702,0.4939002118489298,2021-08-10 09:30:35.0
9,CN-007,APPLE SHA WGQ WHS,TD,运输产品部,APPLE,APPLE,11967.0,20210724,202130,202107,202103,2021,1,6.0,,,,,,10.0,6.0,516041.0,516041.0,0.0,0.0,,,7082.0,20843.0,193076702.0,2765309.0,41298573.0,,,,,,,,,,,0.5917941004428846,0.4082058995571154,2021-08-10 09:30:35.0
10,CN-031,FUJI-XEROX WUH XXX WHS,TSC,高科技/备件物流/化工行业事业部,FUJIX,FUJIX,190.0,20210612,202124,202106,202102,2021,1,,,,,,,,,,,,,,,154.0,9.0,120515.7,0.0,0.0,,,,,,,,,,,0.8105263157894737,0.1894736842105263,2021-08-05 07:35:11.0
11,CN-034,HP-GSD PEK XW0 WHS,TSC,高科技/备件物流/化工行业事业部,H3CUH,H3CUH,,20210608,202124,202106,202102,2021,0,,,,,,,,,,,,,,,,,,,,6.0,47.96,8.0,31.96,8.0,47.96,0.0,,0.6663886572143453,7.993333333333333,,,2021-08-05 07:35:11.0
