,ou_code,ou_name,bg_code,bg_name_cn,customer_id,customer_name,total_storage_location_count,operation_day,week,month,quarter,year,is_holiday,inbound_header_count,inbound_line_count,inbound_line_original_qty,inbound_receive_qty,inbound_receive_volume,inbound_receive_weight,outbound_header_count,outbound_line_count,outbound_line_original_qty,outbound_shipped_qty,outbound_shipped_volume,outbound_shipped_weight,outbound_std_shipped_volume,outbound_std_shipped_weight,used_storage_location_count,active_lpn_count,on_hand_qty,in_transit_qty,allocated_qty,total_head_count,total_working_hour,outsource_working_hour,perm_working_hour,other_working_hour,direct_working_hour,indirect_working_hour,outbound_inbound_qty_ratio,perm_working_hour_ratio,working_hour_per_head,location_usage_rate,location_idle_rate,update_time
0,CATC008,,,,,,,20210730,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,15,131.55,10.5,121.05,0,131.55,0,,0.92018244,8.77,,,2021/8/5
1,CATC009,,,,,,,20210728,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,7,69.25,0,69.25,0,69.25,0,,1,9.892857143,,,2021/8/5
2,CATC014,,,,,,,20210729,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,8,57.74,0,57.74,0,57.74,0,,1,7.2175,,,2021/8/5
3,CATC015,,,,,,,20210729,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,9,79.63,0,79.63,0,79.63,0,,1,8.847777778,,,2021/8/5
4,CN-002,ABBOTT CTU  BTS WHS,LSH,生命科学与医疗行业事业部,ABBOT,ABBOT,3321,20210714,202129,202107,202103,2021,0,2,7,24690,24690,86800000,9.102,3,4,192,192,3247599.84,,,,808,1537,298341,0,3551,5,40.87,16.38,24.49,0,40.87,0,0.007776428,0.59921703,8.174,0.243300211,0.756699789,2021/8/5
5,CN-003,ABBOTT SHA KQ0 WHS,LSH,生命科学与医疗行业事业部,ABBOT,ABBOT,13689,20210725,202130,202107,202103,2021,1,44,2092,18861,18861,73000000,79270.889,1,5,21948,21948,83500000,,,,6928,14367,4505518,0,74986,7,65.88,37.3,28.58,0,65.88,0,1.163671067,0.433819065,9.411428571,0.506099788,0.493900212,2021/8/5
6,CN-007,APPLE SHA WGQ WHS,TD,运输产品部,APPLE,APPLE,163,20210724,202130,202107,202103,2021,1,6,,,,,,10,6,516041,516041,0,0,,,7082,20843,193000000,2765309,41300000,,,,,,,,,,,43.44785276,-42.44785276,2021/8/5
7,CN-034,HP-GSD PEK XW0 WHS,TSC,高科技/备件物流/化工行业事业部,H3CUH,H3CUH,,20210720,202130,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,34,280.2,8,214.61,57.59,269.82,10.38,,0.765917202,8.241176471,,,2021/8/5
8,CN-057,PERNOD-RIC SHA WGQ WHS,CR,快消/零售行业事业部,PERNO,PERNO,,20210712,202129,202107,202103,2021,0,19,,,,,,100,239,217473,217473,6480000000,3465283.62,,,7791,0,,,553082,47,501.76,220.46,243.96,37.34,498.78,2.98,,0.486208546,10.67574468,,,2021/8/5
9,CN-084,HUAWEI-VMI DGM SSH WHS,TSC,高科技/备件物流/化工行业事业部,HUAWE,HUAWE,,20210726,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,13,123.52,81,42.52,0,123.52,0,,0.344235751,9.501538462,,,2021/8/5
10,CN-118,GARRETT SHA CL0 WHS,EM,工业与制造行业事业部,HONEY,HONEY,,20210707,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,38,345.44,269,76.44,0,345.44,0,,0.221283001,9.090526316,,,2021/8/5
11,CN-149,HONEYWELL TSN XXX WHS,EM,工业与制造行业事业部,HONEY,HONEY,2787,20210723,202130,202107,202103,2021,0,,,,,,,3,88,1175,1175,117.5,,,,1346,3172,99741,0,0,7,56,0,56,0,56,0,,1,8,0.482956584,0.517043416,2021/8/5
12,CN-170,SGMW LZH XXX WHS,Auto,汽车行业事业部,SGMWA,SGMWA,,20210709,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,701,6878.93,6031.5,847.43,0,6870.35,8.58,,0.123192124,9.813024251,,,2021/8/5
13,CN-175,SIEMENS SZV XXX WHS,EM,工业与制造行业事业部,SIEME,SIEME,37447,20210716,202129,202107,202103,2021,0,1008,3466,139347,139345,311000000,10330.1196,2020,6114,212550,212550,375000000,,,,23854,41895,2053959,75667,162664,17,181.89,0,181.89,0,174.49,7.4,1.525350748,1,10.69941176,0.63700697,0.36299303,2021/8/5
14,CN-189,KONE CTU XXX WHS,EM,工业与制造行业事业部,KONEX,KONEX,1108,20210727,202131,202107,202103,2021,0,655,,,,,,57,722,649,649,0,0,,,424,3796,8698.31,0.2,7,2,16.93,0,16.93,0,16.93,0,,1,8.465,0.38267148,0.61732852,2021/8/5
15,CN-205,MARS TSN XXX PKG,CR,快消/零售行业事业部,MARSX,MARSX,,20210729,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,11,99.48,19.48,80,0,99.48,0,,0.804181745,9.043636364,,,2021/8/5
16,CN-214,BOSE SHA KQ0 WHS,TSC,高科技/备件物流/化工行业事业部,BOSEX,BOSEX,9387,20210717,202129,202107,202103,2021,1,,,,,,,6,16,4719,4719,4814859.7,4719,,,5167,9155,1016046,4997,100452,9,84.07,46.5,37.57,0,84.07,0,,0.446889497,9.341111111,0.550442101,0.449557899,2021/8/5
17,CN-216,SGMW-PDC CKG XXX WHS,Auto,汽车行业事业部,SGMWA,SGMWA,,20210710,202128,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,18,169.63,142.36,27.27,0,169.63,0,,0.160761658,9.423888889,,,2021/8/5
18,CN-225,MARS JIA XXX PKG,CR,快消/零售行业事业部,MARSX,MARSX,,20210704,202127,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,2,13.13,4,9.13,0,13.13,0,,0.695354151,6.565,,,2021/8/5
19,CN-230,VOLVO CAN HP0 WHS,Auto,汽车行业事业部,VOLVO,VOLVO,,20210714,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,18,213.49,168.13,45.36,0,205.74,7.75,,0.212468968,11.86055556,,,2021/8/5
20,CN-230,VOLVO CAN HP0 WHS,Auto,汽车行业事业部,VOLVO,VOLVO,,20210724,202130,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,14,150.3,150.3,0,0,150.3,0,,0,10.73571429,,,2021/8/5
21,CN-232,FORD HRB XXX WHS,Auto,汽车行业事业部,FORDX,FORDX,,20210730,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,1,9.32,0,9.32,0,9.32,0,,1,9.32,,,2021/8/5
22,CN-237,LAM DLC XXX WHS,TSC,高科技/备件物流/化工行业事业部,LAMRE,LAMRE,,20210720,202130,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,7,80.43,0,80.43,0,80.43,0,,1,11.49,,,2021/8/5
23,CN-247,STARBUCKS CTU XXX WHS,CR,快消/零售行业事业部,STARB,STARB,,20210714,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3,30.63,0,30.63,0,30.63,0,,1,10.21,,,2021/8/5
24,CN-257,LAM PEK XW0 WHS,TSC,高科技/备件物流/化工行业事业部,LAMRE,LAMRE,,20210729,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3,27.46,0,27.46,0,27.46,0,,1,9.153333333,,,2021/8/5
25,CN-265,MARY-KAY HGH XXX WHS,CR,快消/零售行业事业部,MARYK,MARYK,23073,20210712,202129,202107,202103,2021,0,23,81,44806,44806,18800000,10.411,4668,18643,926810,1934574,17400000,,,,311,1220,187789,528,4165,37,338.16,305.1,33.06,0,338.16,0,43.17667277,0.097764372,9.139459459,0.013478958,0.986521042,2021/8/5
26,CN-283,EXAR SHA WGQ WHS,TSC,高科技/备件物流/化工行业事业部,CEXAR,CEXAR,,20210705,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3,31.75,23.25,8.5,0,31.75,0,,0.267716535,10.58333333,,,2021/8/5
27,CN-291,JLR PEK XXX WHS,Auto,汽车行业事业部,JLRXX,JLRXX,,20210722,202130,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,5,48.6,0,48.6,0,48.6,0,,1,9.72,,,2021/8/5
28,CN-295,GE PEK XXX WHS,EM,工业与制造行业事业部,GEABP,GEABP,,20210729,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,4,34.05,17.67,16.38,0,34.05,0,,0.481057269,8.5125,,,2021/8/5
29,CN-296,LUCKIN PEK XXX WHS,CR,快消/零售行业事业部,LUCKI,LUCKI,14645,20210724,202130,202107,202103,2021,1,29,39,13038,13024,147000000,766.0271,297,6870,16798,16798,135000000,,,,8581,20598,1475956,0,6300,18,180.84,150.84,30,0,180.84,0,1.289772727,0.165892502,10.04666667,0.585933766,0.414066234,2021/8/5
30,CN-297,MARS-RAW PEK XXX WHS,CR,快消/零售行业事业部,MARSX,MARSX,20606,20210731,202131,202107,202103,2021,1,26,69,11000000,11000000,10700000,47.592,27,87,49500000,49500000,19900000,,,,6642,10426,2530000000,0,9737719,15,176.05,131.05,45,0,176.05,0,4.49208736,0.255609202,11.73666667,0.322333301,0.677666699,2021/8/5
31,CN-298,HPCCDO WEH XXX WHS,TSC,高科技/备件物流/化工行业事业部,HPPXX,HPPXX,9358,20210714,202129,202107,202103,2021,0,23,10,113,113,629425.92,117.446,314,474,18390,18390,1040000000,136006.135,,,3849,4094,196741,0,990,8,68.49,8.75,59.74,0,68.49,0,162.7433628,0.872244123,8.56125,0.411305835,0.588694165,2021/8/5
32,CN-300,WENMING-ME NTG XXX WHS,TSC,高科技/备件物流/化工行业事业部,MTDIG,MTDIG,6939,20210707,202128,202107,202103,2021,0,8,,,,,,130,198,1601,1601,17300000,6826.032,,,,,,,,1,7.95,0,7.95,0,7.95,0,,1,7.95,,,2021/8/5
33,CN-316,LUCKIN-EQU SHA XXX WHS,CR,快消/零售行业事业部,LUCKI,LUCKI,6395,20210714,202129,202107,202103,2021,0,,,,,,,9,508,10713,10713,69900000,,,,1578,6469,38357,0,13433,2,16.43,0,16.43,0,8.48,7.95,,1,8.215,0.246755278,0.753244722,2021/8/5
34,CN-335,MIDEA SZV XXX WHS,TSC,高科技/备件物流/化工行业事业部,MIDEA,MIDEA,,20210712,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,2,23.74,0,23.74,0,23.74,0,,1,11.87,,,2021/8/5
35,CN-372,,,,,,5,20210728,202131,202107,202103,2021,0,10,15,27430,27430,24560.9634,6.933,157,800,13792,13792,17567.6055,,,,4,870,321754,0,13872,,,,,,,,0.502807145,,,0.8,0.2,2021/8/5
36,CN-381,,,,,,331,20210719,202130,202107,202103,2021,0,,,,,,,,,,,,,,,2,130,68113,0,0,,,,,,,,,,,0.006042296,0.993957704,2021/8/5
37,CN-392,RAZER SHA XXX WHS,CR,快消/零售行业事业部,RAZER,RAZER,328,20210728,202131,202107,202103,2021,0,,,,,,,,,,,,,,,216,0,46082,32121,35382,,,,,,,,,,,0.658536585,0.341463415,2021/8/5
38,CN-394,LANDBASE SHA KQ0 PKG,CR,快消/零售行业事业部,LANDB,LANDB,,20210702,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,4,36,36,0,0,36,0,,0,9,,,2021/8/5
39,CN-394,LANDBASE SHA KQ0 PKG,CR,快消/零售行业事业部,LANDB,LANDB,,20210717,202129,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,1,9,9,0,0,9,0,,0,9,,,2021/8/5
40,CN-404,HL-COSTA PEK XXX WHS,EM,工业与制造行业事业部,HLCOS,HLCOS,,20210704,202127,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,1,5.5,0,5.5,0,5.5,0,,1,5.5,,,2021/8/5
41,CN-404,HL-COSTA PEK XXX WHS,EM,工业与制造行业事业部,HLCOS,HLCOS,,20210730,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,2,16.5,0,16.5,0,16.5,0,,1,8.25,,,2021/8/5
42,CN-405,ASML Tianjin WHS,TSC,高科技/备件物流/化工行业事业部,ASMLX,ASMLX,,20210702,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,1,11.75,0,11.75,0,11.75,0,,1,11.75,,,2021/8/5
43,CN-407,TODS SHA XXX WHS,TSC,高科技/备件物流/化工行业事业部,TODSX,TODSX,,20210715,202129,202107,202103,2021,0,,,,,,,4,4,4,4,0,0,,,967,0,144228,0,1414,14,180.8,156.92,23.88,0,170.57,10.23,,0.132079646,12.91428571,,,2021/8/5
44,CN-423,HUAWEI-VMI DGM XXX WHS,TSC,高科技/备件物流/化工行业事业部,HUAWE,HUAWE,,20210713,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,38,404.25,395.95,8.3,0,404.25,0,,0.020531849,10.63815789,,,2021/8/5
45,TD012,,,,,,,20210707,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3,28.5,0,16,12.5,20.5,8,,0.561403509,9.5,,,2021/8/5
46,TD013,,,,,,,20210716,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,9,74.87,0,74.87,0,74.87,0,,1,8.318888889,,,2021/8/5
47,TD014,,,,,,,20210702,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,5,39.28,0,39.28,0,39.28,0,,1,7.856,,,2021/8/5
48,TD016,,,,,,,20210726,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,1,8,0,8,0,8,0,,1,8,,,2021/8/5
49,TD025,,,,,,,20210706,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,7,66.94,9.12,57.82,0,66.94,0,,0.86375859,9.562857143,,,2021/8/5
50,TD036,,,,,,,20210701,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3,30.15,0,30.15,0,21.03,9.12,,1,10.05,,,2021/8/5
51,TD038,,,,,,,20210707,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,8,64.2,7.58,56.62,0,64.2,0,,0.881931464,8.025,,,2021/8/5
52,TD050,,,,,,,20210711,202128,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,1,10.45,10.45,0,0,10.45,0,,0,10.45,,,2021/8/5
53,TD079,,,,,,,20210717,202129,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,4,33.35,0,33.35,0,33.35,0,,1,8.3375,,,2021/8/5
54,CATC009,,,,,,,20210725,202130,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,1,7.27,0,7.27,0,7.27,0,,1,7.27,,,2021/8/5
55,CATC015,,,,,,,20210727,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,8,66.4,0,66.4,0,66.4,0,,1,8.3,,,2021/8/5
56,CN-007,APPLE SHA WGQ WHS,TD,运输产品部,APPLE,APPLE,163,20210717,202129,202107,202103,2021,1,4,,,,,,3,2,52500,52500,0,0,,,7612,21413,206000000,1288432,5040726,,,,,,,,,,,46.6993865,-45.6993865,2021/8/5
57,CN-009,BMS SHA HT0 WHS,LSH,生命科学与医疗行业事业部,SQUIB,SQUIB,1101,20210705,202128,202107,202103,2021,0,2,,,,,,4,8,106560,106560,21000000,6606.48,,,,,,,,1,8,0,0,8,8,0,,0,8,,,2021/8/5
58,CN-027,FORD SZV XXX WHS,Auto,汽车行业事业部,FORDC,FORDC,,20210731,202131,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,3,29.58,18,11.58,0,18,11.58,,0.39148073,9.86,,,2021/8/5
59,CN-034,HP-GSD PEK XW0 WHS,TSC,高科技/备件物流/化工行业事业部,H3CUH,H3CUH,,20210718,202129,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,5,55.95,0,46.95,9,55.95,0,,0.839142091,11.19,,,2021/8/5
60,CN-043,MARS SHE BTS WHS,CR,快消/零售行业事业部,MARSX,MARSX,13185,20210707,202128,202107,202103,2021,0,67,420,607697,605725,176961.9801,75.1218,46,322,561216,561216,62134.6422,,,,429,687,1134994,0,0,8,64.69,0,64.69,0,64.69,0,0.92651946,1,8.08625,0.032536974,0.967463026,2021/8/5
61,CN-043,MARS SHE BTS WHS,CR,快消/零售行业事业部,MARSX,MARSX,13185,20210728,202131,202107,202103,2021,0,61,220,520739,513611,256051.9014,50.5269,100,680,445492,445492,97137.8063,,,,2946,3422,9034722,0,0,8,72.6,0,72.6,0,72.6,0,0.867372389,1,9.075,0.223435722,0.776564278,2021/8/5
62,CN-066,STARBUCKS DGM XXX WHS,CR,快消/零售行业事业部,STARB,STARB,18805,20210715,202129,202107,202103,2021,0,4,4,779,779,447.588,2.0014,1512,20510,119180,119178,290457.5824,,,,7966,49872,2714799,16397,308819,,,,,,,,152.9884467,,,0.423610742,0.576389258,2021/8/5
63,CN-140,FORD WUH XXX WHS,Auto,汽车行业事业部,FORDX,FORDX,,20210727,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,9,74.23,32.95,41.28,0,74.23,0,,0.55610939,8.247777778,,,2021/8/5
