dws_dsc_wh_ou_monthly_kpi_sum.ou_code,dws_dsc_wh_ou_monthly_kpi_sum.ou_name,dws_dsc_wh_ou_monthly_kpi_sum.bg_code,dws_dsc_wh_ou_monthly_kpi_sum.bg_name_cn,dws_dsc_wh_ou_monthly_kpi_sum.customer_id,dws_dsc_wh_ou_monthly_kpi_sum.customer_name,dws_dsc_wh_ou_monthly_kpi_sum.total_storage_location_count,dws_dsc_wh_ou_monthly_kpi_sum.month,dws_dsc_wh_ou_monthly_kpi_sum.quarter,dws_dsc_wh_ou_monthly_kpi_sum.year,dws_dsc_wh_ou_monthly_kpi_sum.inbound_header_count,dws_dsc_wh_ou_monthly_kpi_sum.inbound_line_count,dws_dsc_wh_ou_monthly_kpi_sum.inbound_line_original_qty,dws_dsc_wh_ou_monthly_kpi_sum.inbound_receive_qty,dws_dsc_wh_ou_monthly_kpi_sum.inbound_receive_volume,dws_dsc_wh_ou_monthly_kpi_sum.inbound_receive_weight,dws_dsc_wh_ou_monthly_kpi_sum.outbound_header_count,dws_dsc_wh_ou_monthly_kpi_sum.outbound_line_count,dws_dsc_wh_ou_monthly_kpi_sum.outbound_line_original_qty,dws_dsc_wh_ou_monthly_kpi_sum.outbound_shipped_qty,dws_dsc_wh_ou_monthly_kpi_sum.outbound_shipped_volume,dws_dsc_wh_ou_monthly_kpi_sum.outbound_shipped_weight,dws_dsc_wh_ou_monthly_kpi_sum.last_used_storage_location_count,dws_dsc_wh_ou_monthly_kpi_sum.last_active_lpn_count,dws_dsc_wh_ou_monthly_kpi_sum.last_on_hand_qty,dws_dsc_wh_ou_monthly_kpi_sum.last_in_transit_qty,dws_dsc_wh_ou_monthly_kpi_sum.last_allocated_qty,dws_dsc_wh_ou_monthly_kpi_sum.avg_used_storage_location_count,dws_dsc_wh_ou_monthly_kpi_sum.avg_active_lpn_count,dws_dsc_wh_ou_monthly_kpi_sum.avg_on_hand_qty,dws_dsc_wh_ou_monthly_kpi_sum.avg_in_transit_qty,dws_dsc_wh_ou_monthly_kpi_sum.avg_allocated_qty,dws_dsc_wh_ou_monthly_kpi_sum.total_head_count,dws_dsc_wh_ou_monthly_kpi_sum.total_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.outsource_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.perm_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.other_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.direct_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.indirect_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.total_labor_cost,dws_dsc_wh_ou_monthly_kpi_sum.outsource_labor_cost,dws_dsc_wh_ou_monthly_kpi_sum.labor_cost_for_business_outsource,dws_dsc_wh_ou_monthly_kpi_sum.perm_labor_cost,dws_dsc_wh_ou_monthly_kpi_sum.bms_bill_amount_exclude_tax,dws_dsc_wh_ou_monthly_kpi_sum.customs_agent_fee,dws_dsc_wh_ou_monthly_kpi_sum.operation_fee,dws_dsc_wh_ou_monthly_kpi_sum.warehouse_site_fee,dws_dsc_wh_ou_monthly_kpi_sum.short_barge_fee,dws_dsc_wh_ou_monthly_kpi_sum.labor_fee,dws_dsc_wh_ou_monthly_kpi_sum.equipment_usage_fee,dws_dsc_wh_ou_monthly_kpi_sum.value_added_fee,dws_dsc_wh_ou_monthly_kpi_sum.inbound_std_receive_volume,dws_dsc_wh_ou_monthly_kpi_sum.inbound_std_receive_weight,dws_dsc_wh_ou_monthly_kpi_sum.outbound_std_shipped_volume,dws_dsc_wh_ou_monthly_kpi_sum.outbound_std_shipped_weight,dws_dsc_wh_ou_monthly_kpi_sum.outbound_inbound_qty_ratio,dws_dsc_wh_ou_monthly_kpi_sum.perm_working_hour_ratio,dws_dsc_wh_ou_monthly_kpi_sum.working_hour_per_head,dws_dsc_wh_ou_monthly_kpi_sum.average_labor_cost_per_hour,dws_dsc_wh_ou_monthly_kpi_sum.average_labor_cost_per_hour_outsourcing,dws_dsc_wh_ou_monthly_kpi_sum.average_labor_cost_per_hour_perm,dws_dsc_wh_ou_monthly_kpi_sum.location_usage_rate,dws_dsc_wh_ou_monthly_kpi_sum.location_idle_rate,dws_dsc_wh_ou_monthly_kpi_sum.total_handling_income,dws_dsc_wh_ou_monthly_kpi_sum.total_handling_income_ratio,dws_dsc_wh_ou_monthly_kpi_sum.warehouse_site_fee_ratio,dws_dsc_wh_ou_monthly_kpi_sum.value_added_fee_ratio,dws_dsc_wh_ou_monthly_kpi_sum.labor_productivity,dws_dsc_wh_ou_monthly_kpi_sum.estimated_working_hour,dws_dsc_wh_ou_monthly_kpi_sum.update_time
CN-203,BRP SHA YX0 WHS,Auto,汽车行业事业部,BRPXX,BRPXX,null,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,814.08,335,479.08,0,814.08,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.588492531,288.5346835,null,null,null,null,null,0,null,null,null,0,null,14:09.0
CN-214,BOSE SHA KQ0 WHS,TSC,高科技/备件物流/化工行业事业部,BOSEX,BOSEX,9387,202107,202103,2021,336,1307,300484,300484,0,0,3597,2473,642707,642707,2.07E+08,641699,5240,9999,882764,6960,21623,3498,7235,621008.25,18735.2,53036.55,13,4095.89,2634.27,1461.62,0,4095.89,0,null,null,null,null,881340.848,0,0,330684.8685,0,412905.267,56159.92113,81590.79142,null,null,null,null,2.138905898,0.356850404,311.2073284,null,null,null,0.372728241,0.627271759,412905.267,0.468496687,0.375206561,0.092575752,100.8096572,null,14:09.0
CN-239,LINDT SHA KQ0 WHS,CR,快消/零售行业事业部,LINDT,LINDT,7436,202107,202103,2021,54,104,6289488,6289488,4.57E+08,282.9451,75,304,240138,240138,1.08E+08,null,1799,4979,2.58E+07,0,1511249,1090,2941,1.21E+07,0,565384.8667,4,1176.08,0,901.08,275,1023.01,153.07,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.03818085,0.766172369,260.3535878,null,null,null,0.146584185,0.853415815,0,null,null,null,0,null,14:09.0
CN-246,HUSQVARNA SHA CL0 WHS,EM,工业与制造行业事业部,HUSQV,HUSQV,117194,202108,202103,2021,4,20,1027,1027,0,0,43,null,null,null,null,null,null,null,null,null,null,447,1633,102977.5,5480,5480,4,174.71,112.67,62.04,0,174.71,0,null,null,null,null,152423.5849,0,0,76830.18868,0,65593.39623,10000,0,null,null,null,null,0,0.355102742,36.78105263,null,null,null,0.003816322,0.996183678,65593.39623,0.430336265,0.50405709,0,375.4415673,null,35:10.0
CN-269,ABBOTT SHA WGQ WHS,LSH,生命科学与医疗行业事业部,ABBOT,ABBOT,2772,202108,202103,2021,9,26,277302,277302,8.98E+08,28.01,2,4,13296,13296,4.45E+07,null,null,null,null,null,null,1631,3048,2072983,0,7551.75,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.047947725,null,null,null,null,null,0.588474026,0.411525974,0,null,null,null,null,null,35:10.0
CN-293,JLR CKG XXX WHS,Auto,汽车行业事业部,JLRXX,JLRXX,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16,4014.04,3625.05,388.99,0,4014.04,0,201257.9,114463.63,505.38,86794.27,340322.2925,0,241500.2925,25056.58491,0,29027.84906,44737.56604,0,null,null,null,null,null,0.096907355,247.1699507,50.1384889,31.57573827,223.1272526,null,null,270528.1415,0.794917487,0.073626046,0,67.39547725,null,35:10.0
CN-308,INTEL CTU XXX CN,TSC,高科技/备件物流/化工行业事业部,INTEL,INTEL,null,202107,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14,3435.23,2869.57,565.66,0,3435.23,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.164664375,239.8664339,null,null,null,null,null,0,null,null,null,0,null,14:09.0
CN-419,LINDT SHA KQ0 PKG,CR,快消/零售行业事业部,LINDT,LINDT,null,202106,202102,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,1097.53,387,710.53,0,937.88,159.65,41160.63,5647.14,46545.02,35513.49,83806.05377,0,69950.05377,13856,0,0,0,0,null,null,null,null,null,0.647390049,184.38504,37.50296575,14.59209302,49.98168972,null,null,69950.05377,0.834665882,0.165334118,0,63.73406993,null,35:10.0
TD008,null,null,null,null,null,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9,254.92,28.95,225.97,0,254.92,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.88643496,27.31285714,null,null,null,null,null,0,null,null,null,0,null,35:10.0
CN-205,MARS TSN XXX PKG,CR,快消/零售行业事业部,MARSX,MARSX,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,363.33,41.01,322.32,0,363.33,0,null,null,null,null,1407404.406,0,0,0,0,0,0,1407404.406,null,null,null,null,null,0.887127405,41.52342857,null,null,null,null,null,0,0,0,1,0,null,35:10.0
CN-214,BOSE SHA KQ0 WHS,TSC,高科技/备件物流/化工行业事业部,BOSEX,BOSEX,9387,202108,202103,2021,29,99,56972,56972,0,0,511,325,71358,71358,1.44E+07,71358,null,null,null,null,null,3635,7778,575447,9192.75,28693.75,12,511.76,333.8,177.96,0,511.76,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.252510005,0.347741129,41.77632653,null,null,null,0.387290934,0.612709066,0,null,null,null,0,null,35:10.0
CN-232,FORD HRB XXX WHS,Auto,汽车行业事业部,FORDX,FORDX,null,202108,202103,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,26.7,0,26.7,0,26.7,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,26.7,null,null,null,null,null,0,null,null,null,0,null,35:10.0
