ou_code,operation_day,inbound_receive_qty,kernal_core1,kernal_value1,outbound_shipped_qty,kernal_core2,kernal_value2,total_working_hour,kernal_core3,kernal_value3,dis_core,outbound_inbound_qty_ratio,working_hour_per_head,total_head_count,is_holiday,max_wh,min_wh,median_wh,mean_wh,qt_66_wh,qt_75_wh,d_to_core_outer,percent_error_66,percent_error_75,inc_day
CN-001,20210619,0.0,-1,0.0,0.0,-1,0.0,30.0,1,31.74480156148341,1.745,0.0,10.0,3.0,1,31.6,9.5,19.75,20.28,30.52693,31.185,1.745,0.017564333333333338,0.03949999999999996,20210811
CN-001,20210626,0.0,-1,0.0,0.0,-1,0.0,9.5,2,9.5,0.0,0.0,9.5,1.0,1,31.6,9.5,19.75,20.28,30.52693,31.185,0.0,2.213361052631579,2.282631578947368,20210811
CN-001,20210625,0.0,-1,0.0,12819.0,2,13556.152941176471,32.120000000000005,1,31.74480156148341,-0.375,0.0,8.030000000000001,4.0,0,32.120000000000005,32.120000000000005,32.120000000000005,32.120000000000005,32.120000000000005,32.120000000000005,-0.375,0.0,0.0,20210811
CN-001,20210705,0.0,-1,0.0,0.0,-1,0.0,31.58,1,31.74480156148341,0.165,0.0,7.895,4.0,0,31.6,9.5,19.75,20.28,30.52693,31.185,0.165,-0.03334610512982895,-0.01250791640278656,20210811
CN-001,20210616,0.0,-1,0.0,7321.0,1,2658.6575609756096,31.6,1,31.74480156148341,0.145,0.0,7.9,4.0,0,33.08,24.5,32.1,30.8,32.513416,32.72,0.145,0.0289055696202531,0.03544303797468346,20210811
CN-001,20210607,0.0,-1,0.0,30123.0,0,28921.96956521739,34.67,3,33.861847389558235,-0.808,0.0,8.6675,4.0,0,34.67,34.67,34.67,34.67,34.67,34.67,-0.808,0.0,0.0,20210811
CN-001,20210703,0.0,-1,0.0,0.0,-1,0.0,9.5,2,9.5,0.0,0.0,9.5,1.0,1,31.6,9.5,19.75,20.28,30.52693,31.185,0.0,2.213361052631579,2.282631578947368,20210811
CN-001,20210630,0.0,-1,0.0,2354.0,1,2658.6575609756096,33.08,3,33.861847389558235,0.782,0.0,8.27,4.0,0,33.08,24.5,32.1,30.8,32.513416,32.72,0.782,-0.017127690447400208,-0.010882708585247867,20210811
CN-001,20210709,0.0,-1,0.0,18158.0,3,21197.10559006211,32.15,1,31.74480156148341,-0.405,0.0,8.0375,4.0,0,32.15,32.15,32.15,32.15,32.15,32.15,-0.405,0.0,0.0,20210811
CN-001,20210701,0.0,-1,0.0,0.0,-1,0.0,31.6,1,31.74480156148341,0.145,0.0,7.9,4.0,0,31.6,9.5,19.75,20.28,30.52693,31.185,0.145,-0.0339579113924051,-0.013132911392405149,20210811
CN-001,20210629,0.0,-1,0.0,2016.0,1,2658.6575609756096,32.72,1,31.74480156148341,-0.975,0.0,8.18,4.0,0,33.08,24.5,32.1,30.8,32.513416,32.72,-0.975,-0.0063136919315403255,0.0,20210811
CN-001,20210609,0.0,-1,0.0,1551.0,1,2658.6575609756096,24.5,0,24.813905930470348,0.314,0.0,8.166666666666666,3.0,0,33.08,24.5,32.1,30.8,32.513416,32.72,0.314,0.32707820408163263,0.3355102040816326,20210811
CN-001,20210624,0.0,-1,0.0,3805.0,1,2658.6575609756096,32.1,1,31.74480156148341,-0.355,0.0,8.025,4.0,0,33.08,24.5,32.1,30.8,32.513416,32.72,-0.355,0.012879003115264735,0.019314641744548205,20210811
CN-001,20210710,0.0,-1,0.0,0.0,-1,0.0,9.5,2,9.5,0.0,0.0,9.5,1.0,1,31.6,9.5,19.75,20.28,30.52693,31.185,0.0,2.213361052631579,2.282631578947368,20210811
CN-001,20210617,114.0,0,1184.8199261992618,13527.0,2,13556.152941176471,31.58,1,31.74480156148341,0.165,118.65789473684212,7.895,4.0,0,31.58,31.58,31.58,31.58,31.58,31.58,0.165,0.0,0.0,20210811
CN-001,20210628,2500.0,0,1184.8199261992618,165.0,1,2658.6575609756096,33.68,3,33.861847389558235,0.182,0.066,8.42,4.0,0,33.68,31.63,31.75,32.35333333333333,32.393462,32.715,0.182,-0.03819887173396675,-0.028652019002375188,20210811
CN-001,20210706,15.0,0,1184.8199261992618,4170.0,1,2658.6575609756096,31.63,1,31.74480156148341,0.115,278.0,7.9075,4.0,0,33.68,31.63,31.75,32.35333333333333,32.393462,32.715,0.115,0.02413727473917169,0.03430287701549176,20210811
CN-001,20210615,5.0,0,1184.8199261992618,0.0,-1,0.0,34.43,3,33.861847389558235,-0.568,0.0,8.6075,4.0,0,34.43,31.68,33.055,33.055,33.513425,33.7425,-0.568,-0.02662140575079877,-0.019968051118210862,20210811
CN-001,20210618,64.0,0,1184.8199261992618,98.0,1,2658.6575609756096,31.75,1,31.74480156148341,-0.005,1.53125,7.9375,4.0,0,33.68,31.63,31.75,32.35333333333333,32.393462,32.715,-0.005,0.020266519685039355,0.03039370078740168,20210811
CN-001,20210622,3602.0,0,1184.8199261992618,0.0,-1,0.0,31.68,1,31.74480156148341,0.065,0.0,7.92,4.0,0,34.43,31.68,33.055,33.055,33.513425,33.7425,0.065,0.05787326388888884,0.06510416666666667,20210811
CN-001,20210707,23881.0,1,23397.421921921923,0.0,-1,0.0,33.55,3,33.861847389558235,0.312,0.0,8.3875,4.0,0,33.55,24.5,29.025,29.025,30.533634999999997,31.287499999999998,0.312,-0.0899065573770492,-0.06743666169895676,20210811
