ou_code,operation_day,inbound_receive_qty,kernal_core1,kernal_value1,outbound_shipped_qty,kernal_core2,kernal_value2,total_working_hour,kernal_core3,kernal_value3,dis_core,outbound_inbound_qty_ratio,working_hour_per_head,total_head_count,is_holiday,max_wh,min_wh,median_wh,mean_wh,qt_66_wh,qt_75_wh,d_to_core_outer,percent_error_66,percent_error_75
CN-001,20210619,0,-1,0,0,-1,0,30,1,31.74480156,1.745,0,10,3,1,31.6,9.5,19.75,20.28,30.52693,31.185,1.745,0.017564333,0.0395
CN-001,20210626,0,-1,0,0,-1,0,9.5,2,9.5,0,0,9.5,1,1,31.6,9.5,19.75,20.28,30.52693,31.185,0,2.213361053,2.282631579
CN-001,20210625,0,-1,0,12819,2,13556.15294,32.12,1,31.74480156,-0.375,0,8.03,4,0,32.12,32.12,32.12,32.12,32.12,32.12,-0.375,0,0
CN-001,20210705,0,-1,0,0,-1,0,31.58,1,31.74480156,0.165,0,7.895,4,0,31.6,9.5,19.75,20.28,30.52693,31.185,0.165,-0.033346105,-0.012507916
CN-001,20210616,0,-1,0,7321,1,2658.657561,31.6,1,31.74480156,0.145,0,7.9,4,0,33.08,24.5,32.1,30.8,32.513416,32.72,0.145,0.02890557,0.035443038
CN-001,20210607,0,-1,0,30123,0,28921.96957,34.67,3,33.86184739,-0.808,0,8.6675,4,0,34.67,34.67,34.67,34.67,34.67,34.67,-0.808,0,0
CN-001,20210703,0,-1,0,0,-1,0,9.5,2,9.5,0,0,9.5,1,1,31.6,9.5,19.75,20.28,30.52693,31.185,0,2.213361053,2.282631579
CN-001,20210630,0,-1,0,2354,1,2658.657561,33.08,3,33.86184739,0.782,0,8.27,4,0,33.08,24.5,32.1,30.8,32.513416,32.72,0.782,-0.01712769,-0.010882709
CN-001,20210709,0,-1,0,18158,3,21197.10559,32.15,1,31.74480156,-0.405,0,8.0375,4,0,32.15,32.15,32.15,32.15,32.15,32.15,-0.405,0,0
CN-001,20210701,0,-1,0,0,-1,0,31.6,1,31.74480156,0.145,0,7.9,4,0,31.6,9.5,19.75,20.28,30.52693,31.185,0.145,-0.033957911,-0.013132911
CN-001,20210629,0,-1,0,2016,1,2658.657561,32.72,1,31.74480156,-0.975,0,8.18,4,0,33.08,24.5,32.1,30.8,32.513416,32.72,-0.975,-0.006313692,0
CN-001,20210609,0,-1,0,1551,1,2658.657561,24.5,0,24.81390593,0.314,0,8.166666667,3,0,33.08,24.5,32.1,30.8,32.513416,32.72,0.314,0.327078204,0.335510204
CN-001,20210624,0,-1,0,3805,1,2658.657561,32.1,1,31.74480156,-0.355,0,8.025,4,0,33.08,24.5,32.1,30.8,32.513416,32.72,-0.355,0.012879003,0.019314642
CN-001,20210710,0,-1,0,0,-1,0,9.5,2,9.5,0,0,9.5,1,1,31.6,9.5,19.75,20.28,30.52693,31.185,0,2.213361053,2.282631579
CN-001,20210617,114,0,1184.819926,13527,2,13556.15294,31.58,1,31.74480156,0.165,118.6578947,7.895,4,0,31.58,31.58,31.58,31.58,31.58,31.58,0.165,0,0
CN-001,20210628,2500,0,1184.819926,165,1,2658.657561,33.68,3,33.86184739,0.182,0.066,8.42,4,0,33.68,31.63,31.75,32.35333333,32.393462,32.715,0.182,-0.038198872,-0.028652019
CN-001,20210706,15,0,1184.819926,4170,1,2658.657561,31.63,1,31.74480156,0.115,278,7.9075,4,0,33.68,31.63,31.75,32.35333333,32.393462,32.715,0.115,0.024137275,0.034302877
